State,State FIPS,County FIPS,IECC Climate Zone,IECC Moisture Regime,BA Climate Zone,County Name
GA,13,119,4,A,Mixed-Humid,Franklin
GA,13,121,3,A,Mixed-Humid,Fulton
GA,13,123,4,A,Mixed-Humid,Gilmer
GA,13,125,3,A,Mixed-Humid,Glascock
GA,13,127,2,A,Hot-Humid,Glynn
GA,13,129,4,A,Mixed-Humid,Gordon
GA,13,131,2,A,Hot-Humid,Grady
GA,13,133,3,A,Mixed-Humid,Greene
GA,13,135,3,A,Mixed-Humid,Gwinnett
GA,13,137,4,A,Mixed-Humid,Habersham
GA,13,139,4,A,Mixed-Humid,Hall
GA,13,141,3,A,Mixed-Humid,Hancock
GA,13,143,3,A,Mixed-Humid,Haralson
GA,13,145,3,A,Mixed-Humid,Harris
GA,13,147,3,A,Mixed-Humid,Hart
GA,13,149,3,A,Mixed-Humid,Heard
GA,13,151,3,A,Mixed-Humid,Henry
GA,13,153,3,A,Hot-Humid,Houston
GA,13,155,3,A,Hot-Humid,Irwin
GA,13,157,3,A,Mixed-Humid,Jackson
GA,13,159,3,A,Mixed-Humid,Jasper
GA,13,161,2,A,Hot-Humid,Jeff Davis
GA,13,163,3,A,Mixed-Humid,Jefferson
GA,13,165,3,A,Hot-Humid,Jenkins
GA,13,167,3,A,Hot-Humid,Johnson
GA,13,169,3,A,Mixed-Humid,Jones
GA,13,171,3,A,Mixed-Humid,Lamar
GA,13,173,2,A,Hot-Humid,Lanier
GA,13,175,3,A,Hot-Humid,Laurens
GA,13,177,3,A,Hot-Humid,Lee
GA,13,179,2,A,Hot-Humid,Liberty
GA,13,181,3,A,Mixed-Humid,Lincoln
GA,13,183,2,A,Hot-Humid,Long
GA,13,185,2,A,Hot-Humid,Lowndes
GA,13,187,4,A,Mixed-Humid,Lumpkin
GA,13,193,3,A,Hot-Humid,Macon
GA,13,195,3,A,Mixed-Humid,Madison
GA,13,197,3,A,Hot-Humid,Marion
GA,13,189,3,A,Mixed-Humid,McDuffie
GA,13,191,2,A,Hot-Humid,McIntosh
GA,13,199,3,A,Mixed-Humid,Meriwether
GA,13,201,2,A,Hot-Humid,Miller
GA,13,205,2,A,Hot-Humid,Mitchell
GA,13,207,3,A,Mixed-Humid,Monroe
GA,13,209,3,A,Hot-Humid,Montgomery
GA,13,211,3,A,Mixed-Humid,Morgan
GA,13,213,4,A,Mixed-Humid,Murray
GA,13,215,3,A,Mixed-Humid,Muscogee
GA,13,217,3,A,Mixed-Humid,Newton
GA,13,219,3,A,Mixed-Humid,Oconee
GA,13,221,3,A,Mixed-Humid,Oglethorpe
GA,13,223,3,A,Mixed-Humid,Paulding
GA,13,225,3,A,Hot-Humid,Peach
GA,13,227,4,A,Mixed-Humid,Pickens
GA,13,229,2,A,Hot-Humid,Pierce
GA,13,231,3,A,Mixed-Humid,Pike
GA,13,233,3,A,Mixed-Humid,Polk
GA,13,235,3,A,Hot-Humid,Pulaski
GA,13,237,3,A,Mixed-Humid,Putnam
GA,13,239,3,A,Hot-Humid,Quitman
GA,13,241,4,A,Mixed-Humid,Rabun
GA,13,243,3,A,Hot-Humid,Randolph
GA,13,245,3,A,Mixed-Humid,Richmond
GA,13,247,3,A,Mixed-Humid,Rockdale
GA,13,249,3,A,Hot-Humid,Schley
GA,13,251,3,A,Hot-Humid,Screven
GA,13,253,2,A,Hot-Humid,Seminole
GA,13,255,3,A,Mixed-Humid,Spalding
GA,13,257,4,A,Mixed-Humid,Stephens
GA,13,259,3,A,Hot-Humid,Stewart
GA,13,261,3,A,Hot-Humid,Sumter
GA,13,263,3,A,Mixed-Humid,Talbot
GA,13,265,3,A,Mixed-Humid,Taliaferro
GA,13,267,2,A,Hot-Humid,Tattnall
GA,13,269,3,A,Hot-Humid,Taylor
GA,13,271,3,A,Hot-Humid,Telfair
GA,13,273,3,A,Hot-Humid,Terrell
GA,13,275,2,A,Hot-Humid,Thomas
GA,13,277,3,A,Hot-Humid,Tift
GA,13,279,2,A,Hot-Humid,Toombs
GA,13,281,4,A,Mixed-Humid,Towns
GA,13,283,3,A,Hot-Humid,Treutlen
GA,13,285,3,A,Mixed-Humid,Troup
GA,13,287,3,A,Hot-Humid,Turner
GA,13,289,3,A,Hot-Humid,Twiggs
GA,13,291,4,A,Mixed-Humid,Union
GA,13,293,3,A,Mixed-Humid,Upson
GA,13,295,4,A,Mixed-Humid,Walker
GA,13,297,3,A,Mixed-Humid,Walton
GA,13,299,2,A,Hot-Humid,Ware
GA,13,301,3,A,Mixed-Humid,Warren
GA,13,303,3,A,Mixed-Humid,Washington
GA,13,305,2,A,Hot-Humid,Wayne
GA,13,307,3,A,Hot-Humid,Webster
GA,13,309,3,A,Hot-Humid,Wheeler
GA,13,311,4,A,Mixed-Humid,White
GA,13,313,4,A,Mixed-Humid,Whitfield
GA,13,315,3,A,Hot-Humid,Wilcox
GA,13,317,3,A,Mixed-Humid,Wilkes
GA,13,319,3,A,Mixed-Humid,Wilkinson
GA,13,321,3,A,Hot-Humid,Worth
GU,66,10,1,A,Hot-Humid,Guam
HI,15,1,1,A,Hot-Humid,Hawaii
HI,15,3,1,A,Hot-Humid,Honolulu
HI,15,5,1,A,Hot-Humid,Kalawao
HI,15,7,1,A,Hot-Humid,Kauai
HI,15,9,1,A,Hot-Humid,Maui
IA,19,1,5,A,Cold,Adair
IA,19,3,5,A,Cold,Adams
IA,19,5,6,A,Cold,Allamakee
IA,19,7,5,A,Cold,Appanoose
IA,19,9,5,A,Cold,Audubon
IA,19,11,5,A,Cold,Benton
IA,19,13,6,A,Cold,Black Hawk
IA,19,15,5,A,Cold,Boone
IA,19,17,6,A,Cold,Bremer
IA,19,19,6,A,Cold,Buchanan
IA,19,21,6,A,Cold,Buena Vista
IA,19,23,6,A,Cold,Butler
IA,19,25,6,A,Cold,Calhoun
IA,19,27,5,A,Cold,Carroll
IA,19,29,5,A,Cold,Cass
